Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Dianli xitong baohu yu kongzhi,Double anonymous peer review,Yes,7500 CNY,Yes,
Anais da Academia Brasileira de Ciências,Peer review,No,NA,Yes,00013765
ACME,Anonymous peer review,No,NA,Yes,0001494X
Acta Archaeologica Carpathica,Double anonymous peer review,No,NA,Yes,00015229
Acta Dermato-Venereologica,Anonymous peer review,Yes,1600 EUR,Yes,00015555
Acta Haematologica Polonica,Double anonymous peer review,No,NA,Yes,00015814
Acta Médica Costarricense,Double anonymous peer review,No,NA,Yes,00016012
Acta Mycologica,Double anonymous peer review,Yes,400 EUR,Yes,0001625X
Acta Odontologica Scandinavica,Anonymous peer review,Yes,2280 USD; 2150 EUR,Yes,00016357
Acta Poloniae Pharmaceutica,Anonymous peer review,Yes,4120 PLN; 950 EUR,Yes,00016837
Acta Psychologica,Anonymous peer review,Yes,1650 USD,Yes,00016918
Acta Societatis Botanicorum Poloniae,Double anonymous peer review,Yes,520 EUR,Yes,00016977
Acta Stomatologica Croatica,Double anonymous peer review,No,NA,Yes,00017019
Acta Virologica,Anonymous peer review,Yes,1950 EUR,Yes,0001723X
Actas Dermo-Sifiliográficas,Double anonymous peer review,Yes,1900 EUR,Yes,00017310
Africa Spectrum,Double anonymous peer review,No,NA,Yes,00020397
Afrika und Übersee,Double anonymous peer review,No,NA,Yes,00020427
Afro-Ásia,"Editorial review, Double anonymous peer review",No,NA,Yes,00020591
Ain Shams Medical Journal,Anonymous peer review,Yes,2300 EGP,Yes,00022144
Revista Alergia México,Double anonymous peer review,Yes,300 USD,Yes,00025151
Alfa: Revista de Lingüística,Peer review,No,NA,Yes,00025216
Journal of the American Society for Horticultural Science,Peer review,Yes,3500 USD,Yes,00031062
Anali Pravnog Fakulteta u Beogradu,Double anonymous peer review,No,NA,Yes,00032565
Análise Social,Double anonymous peer review,No,NA,Yes,00032573
The Angle Orthodontist,Double anonymous peer review,No,NA,Yes,00033219
