is_covid,received,article_date,acceptance_delay,is_psych,is_mega,issn_linking,h_index,open_access,publication_delay,sjr_2024,sjr_2023,sjr_2022,sjr_2021,sjr_2020,sjr_2019,sjr_2018,sjr_2017,sjr_2016,sjr_2015,publication_types,title,journal,sjr,rank,discipline,asjc,npi_discipline,npi_field,npi_level_24,npi_level_23,npi_level_22,npi_level_21,npi_level_20,npi_level_19,npi_level_18,npi_level_17,npi_level_16,npi_level_15,is_series,established,country,keywords,apc,apc_amount
FALSE,2015-01-01,2015-01-23,1,FALSE,FALSE,09374477,94,FALSE,21,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,"Journal Article, Review",The development and design of the European Board of Otorhinolaryngology-Head and Neck Surgery Examination (EBEORL-HNS).,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Examination in Otorhinolaryngology, UEMS",NA,NA
FALSE,2015-01-06,2015-01-24,3,FALSE,FALSE,07703198,104,FALSE,15,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q2,Journal Article,Childhood sarcoidosis: Louisiana experience.,Clinical rheumatology,0.8550000000000001,6155,health_sciences,2745,Health Sciences,Rheumatology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,Germany,"Early-onset childhood sarcoidosis, Methotrexate, Prednisone, Steroid sparing",NA,NA
FALSE,2015-01-03,2015-02-03,3,FALSE,FALSE,07703198,104,FALSE,28,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q2,"Case Reports, Journal Article, Review",Characteristic features of tacrolimus-induced lung disease in rheumatoid arthritis patients.,Clinical rheumatology,0.8550000000000001,6155,health_sciences,2745,Health Sciences,Rheumatology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,Germany,"Diffuse alveolar damage, Fatal, Lung injury, Lymphocyte, Rheumatoid arthritis, Tacrolimus",NA,NA
FALSE,2015-01-03,2015-02-09,8,FALSE,FALSE,17424801,93,TRUE,29,Q1,Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q1,Q1,"Case Reports, Journal Article",Zosteriform pemphigoid after zoster: Wolf's isotopic response.,International wound journal,0.8770000000000001,5918,health_sciences,2708,Health Sciences,Surgical Sciences,1,1,1,1,1,1,1,1,1,1,FALSE,2004,England,"Isotopic response, Pemphigoid, Zoster",Yes,3580 EUR; 2720 GBP; 3000 USD
FALSE,2015-01-09,2015-02-09,1,FALSE,FALSE,16727681,135,FALSE,30,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, N.I.H., Extramural",Invariant natural killer T cells contribute to chronic-plus-binge ethanol-mediated liver injury by promoting hepatic neutrophil infiltration.,Cellular & molecular immunology,5.916,213,health_sciences,2725,Health Sciences,Biomedicine,1,1,1,1,1,1,1,1,1,1,FALSE,2004,China,NA,NA,NA
FALSE,2015-02-02,2015-03-13,3,FALSE,FALSE,14358603,115,FALSE,36,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Spatio-temporal variation of nectar robbing in Salvia gesneriflora and its effects on nectar production and legitimate visitors.,"Plant biology (Stuttgart, Germany)",1.089,4202,life_sciences,1110,Natural Sciences and Engineering,Biosciences,1,1,1,1,1,1,1,1,1,1,FALSE,1999,England,"Avian nectar robbers, floral larceny, floral longevity, nectar availability, neotropics",NA,NA
FALSE,2015-01-02,2015-03-15,37,FALSE,FALSE,00099163,121,FALSE,35,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Journal Article,Practical considerations in the clinical application of whole-exome sequencing.,Clinical genetics,1.093,4171,health_sciences,2716,Health Sciences,Biomedicine,1,1,1,1,1,1,1,1,1,1,FALSE,1970,Denmark,"clinical genetics, medical genetics, next-generation sequencing, practice utilization, whole-exome sequencing",NA,NA
FALSE,2015-01-05,2015-03-09,37,FALSE,FALSE,00099163,121,FALSE,26,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,"Journal Article, Meta-Analysis, Research Support, Non-U.S. Gov't",Dysmorphology services: a snapshot of current practices and a vision for the future.,Clinical genetics,1.093,4171,health_sciences,2716,Health Sciences,Biomedicine,1,1,1,1,1,1,1,1,1,1,FALSE,1970,Denmark,"chromosome microarray analysis, dysmorphology, genomic service, gestalt recognition software, next-generation sequencing, services",NA,NA
FALSE,2015-01-20,2015-02-17,3,FALSE,FALSE,01715216,114,TRUE,25,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Review",Early detection of colorectal cancer: from conventional methods to novel biomarkers.,Journal of cancer research and clinical oncology,0.91,5601,life_sciences,1306,Health Sciences,Oncology,1,1,1,1,1,1,1,1,1,1,FALSE,1979,Germany,"Colorectal cancer, Fecal/serum biomarkers, Genomic/epigenetic biomarkers, microRNA",Yes,3190 EUR; 4190 USD; 2690 GBP
FALSE,2015-01-13,2015-02-14,24,FALSE,FALSE,02785846,157,FALSE,8,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review",Pathogenetic and therapeutic applications of microRNAs in major depressive disorder.,Progress in neuro-psychopharmacology & biological psychiatry,1.768,1785,life_sciences,2803,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,England,"Circulating miRNAs, Major depressive disorder, Postmortem brain, Stress, miRNA",NA,NA
