"article_date","title"
2016-01-01,350
2016-01-02,383
2016-01-03,101
2016-01-04,1212
2016-01-05,1389
2016-01-06,1810
2016-01-07,1431
2016-01-08,1505
2016-01-09,489
2016-01-10,111
2016-01-11,1745
2016-01-12,1709
2016-01-13,1738
2016-01-14,1677
2016-01-15,1079
2016-01-16,595
2016-01-17,148
2016-01-18,1263
2016-01-19,1673
2016-01-20,1380
2016-01-21,1911
2016-01-22,1843
2016-01-23,610
2016-01-24,174
2016-01-25,1581
2016-01-26,896
2016-01-27,1476
2016-01-28,1792
2016-01-29,1614
2016-01-30,516
2016-01-31,131
2016-02-01,1742
2016-02-02,1879
2016-02-03,1684
2016-02-04,1749
2016-02-05,1381
2016-02-06,807
2016-02-07,99
2016-02-08,1244
2016-02-09,1692
2016-02-10,1713
2016-02-11,1636
2016-02-12,1680
2016-02-13,683
2016-02-14,113
2016-02-15,1403
2016-02-16,1793
2016-02-17,1788
2016-02-18,1773
2016-02-19,1350
2016-02-20,605
2016-02-21,354
2016-02-22,1582
2016-02-23,1776
2016-02-24,1623
2016-02-25,1102
2016-02-26,1674
2016-02-27,1119
2016-02-28,427
2016-02-29,1301
2016-03-01,1420
2016-03-02,2186
2016-03-03,2001
2016-03-04,1623
2016-03-05,693
2016-03-06,221
2016-03-07,1213
2016-03-08,1597
2016-03-09,1635
2016-03-10,1766
2016-03-11,1488
2016-03-12,664
2016-03-13,65
2016-03-14,1361
2016-03-15,1778
2016-03-16,1736
2016-03-17,1645
2016-03-18,1445
2016-03-19,877
2016-03-20,155
2016-03-21,1507
2016-03-22,1764
2016-03-23,1435
2016-03-24,1731
2016-03-25,1125
2016-03-26,659
2016-03-27,93
2016-03-28,1192
2016-03-29,1454
2016-03-30,1532
2016-03-31,2231
2016-04-01,1579
2016-04-02,612
2016-04-03,162
2016-04-04,1454
2016-04-05,1289
2016-04-06,1705
2016-04-07,1692
2016-04-08,1380
2016-04-09,609
2016-04-10,173
2016-04-11,1233
2016-04-12,1586
2016-04-13,1859
2016-04-14,1524
2016-04-15,1085
2016-04-16,931
2016-04-17,139
2016-04-18,1357
2016-04-19,1771
2016-04-20,1614
2016-04-21,1673
2016-04-22,1861
2016-04-23,979
2016-04-24,216
2016-04-25,1300
2016-04-26,1709
2016-04-27,1817
2016-04-28,1631
2016-04-29,1603
2016-04-30,1021
2016-05-01,221
2016-05-02,1085
2016-05-03,1573
2016-05-04,1842
2016-05-05,1454
2016-05-06,1610
2016-05-07,777
2016-05-08,246
2016-05-09,1271
2016-05-10,1925
2016-05-11,1674
2016-05-12,1644
