"article_date_month","title"
"2016-1-01",34332
"2016-10-01",35611
"2016-11-01",37143
"2016-12-01",33261
"2016-2-01",37772
"2016-3-01",40292
"2016-4-01",37564
"2016-5-01",38029
"2016-6-01",39113
"2016-7-01",36128
"2016-8-01",38246
"2016-9-01",36185
"2017-1-01",35424
"2017-10-01",37983
"2017-11-01",41212
"2017-12-01",39185
"2017-2-01",37006
"2017-3-01",42218
"2017-4-01",36473
"2017-5-01",40065
"2017-6-01",40503
"2017-7-01",40463
"2017-8-01",41009
"2017-9-01",40699
"2018-1-01",37093
"2018-10-01",47167
"2018-11-01",45694
"2018-12-01",39724
"2018-2-01",43241
"2018-3-01",45002
"2018-4-01",41169
"2018-5-01",43807
"2018-6-01",42195
"2018-7-01",42434
"2018-8-01",44259
"2018-9-01",42597
"2019-1-01",46248
"2019-10-01",46794
"2019-11-01",53821
"2019-12-01",49140
"2019-2-01",44839
"2019-3-01",47701
"2019-4-01",46044
"2019-5-01",49935
"2019-6-01",45888
"2019-7-01",49252
"2019-8-01",47193
"2019-9-01",41226
"2020-1-01",52310
"2020-10-01",63744
"2020-11-01",61707
"2020-12-01",55046
"2020-2-01",50365
"2020-3-01",50442
"2020-4-01",52630
"2020-5-01",57483
"2020-6-01",60184
"2020-7-01",64367
"2020-8-01",60038
"2020-9-01",62903
"2021-1-01",68266
"2021-10-01",65283
"2021-11-01",64702
"2021-12-01",59763
"2021-2-01",63743
"2021-3-01",72114
"2021-4-01",63772
"2021-5-01",67496
"2021-6-01",69109
"2021-7-01",67519
"2021-8-01",64899
"2021-9-01",64945
"2022-1-01",68536
"2022-10-01",67576
"2022-11-01",59894
"2022-12-01",6095
"2022-2-01",63198
"2022-3-01",71214
"2022-4-01",64956
"2022-5-01",67222
"2022-6-01",68335
"2022-7-01",66710
"2022-8-01",70742
"2022-9-01",71955
"2023-2-01",5
