"journal_title","title"
"primary care companion for CNS disorders, The",254
"npj Vaccines",532
"npj Systems Biology and Applications",260
"npj Science of Learning",140
"npj Science of Food",158
"npj Regenerative Medicine",245
"npj Primary Care Respiratory Medicine",360
"npj Precision Oncology",294
"npj Parkinson's Disease",423
"npj Microgravity",250
"npj Genomic Medicine",306
"npj Flexible Electronics",1
"npj Digital Medicine",638
"npj Climate and Atmospheric Science",5
"npj Clean Water",2
"npj Breast Cancer",481
"npj Biofilms and Microbiomes",354
"npj Aging and Mechanisms of Disease",90
"mSystems",291
"mSphere",349
"mHealth",265
"journal of applied laboratory medicine, The",107
"iScience",4861
"i-Perception",318
"eNeurologicalSci",232
"eNeuro",1921
"eLife",10433
"eClinicalMedicine",1309
"eBioMedicine",2796
"aBIOTECH",77
"Zoonoses and Public Health",263
"Zoomorphology",14
"Zoological Studies",374
"Zoological Letters",158
"Zoological Journal of the Linnean Society",6
"Zoologica Scripta",3
"ZooKeys",3229
"Zoo Biology",398
"Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Ergonomie",24
"Zeitschrift fur Psychologie / Journal of Psychology",3
"Zeitschrift fur Herz-, Thorax- und Gefasschirurgie",5
"Zeitschrift fur Gerontologie und Geriatrie",609
"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",454
"Zeitschrift fur Erziehungswissenschaft",16
"Zeitschrift fur Angewandte Mathematik und Physik",4
"Zdravstveno Varstvo",198
"ZDM - International Journal on Mathematics Education",4
"Yonago Acta Medica",265
"Yeast",309
"Xenotransplantation",307
"X-Ray Spectrometry",1
"Wspolczesna Onkologia",294
"Wound Repair and Regeneration",556
"Worldviews on Evidence-Based Nursing",68
"World journal for pediatric &amp; congenital heart surgery",25
"World Wide Web",14
"World Review of Nutrition and Dietetics",102
"World Neurosurgery: X",60
"World Neurosurgery",11830
"World Mycotoxin Journal",3
"World Medical and Health Policy",45
"World Journal of Urology",2105
"World Journal of Surgical Oncology",2032
"World Journal of Pediatric Surgery",103
"World Journal of Otorhinolaryngology - Head and Neck Surgery",229
"World Journal of Orthopedics",485
"World Journal of Oncology",123
"World Journal of Microbiology and Biotechnology",1476
"World Journal of Men?s Health",291
"World Journal of Gastroenterology",2
"World Journal of Experimental Medicine",41
"World Journal of Emergency Surgery",371
"World Journal of Clinical Pediatrics",131
"World Economy",20
"World Development Perspectives",12
"World Allergy Organization Journal",484
"Work, Aging and Retirement",1
"Work and Stress",2
"Wood Science and Technology",3
"Women's Health Issues",541
"Women's Health",5
"Women and Birth",881
"Wind Energy",1
"Wiley interdisciplinary reviews. RNA",367
"Wiley Interdisciplinary Reviews: Water",8
"Wiley Interdisciplinary Reviews: Systems Biology and Medicine",127
"Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology",394
"Wiley Interdisciplinary Reviews: Energy and Environment",3
"Wiley Interdisciplinary Reviews: Developmental Biology",130
"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery",4
"Wiley Interdisciplinary Reviews: Computational Statistics",2
"Wiley Interdisciplinary Reviews: Computational Molecular Science",9
"Wiley Interdisciplinary Reviews: Cognitive Science",198
"Wiley Interdisciplinary Reviews: Climate Change",14
"Wilderness and Environmental Medicine",413
"Wiener Medizinische Wochenschrift",431
"Wideochirurgia I Inne Techniki Maloinwazyjne",444
"Wetlands Ecology and Management",6
"Wetlands",8
"Western Journal of Emergency Medicine",1099
"Wellbeing, Space and Society",10
"Weed Science",1
"Weed Research",7
"Web Semantics",2
"Water, Air, and Soil Pollution",120
"Water and Environment Journal",3
"Water Science and Technology: Water Supply",1
"Water Resources and Economics",1
"Water Resources Research",63
"Water Research X",120
"Water Research",6629
"Water Environment Research",548
"Water (Switzerland)",1
"Waste and Biomass Valorization",25
"Waste Management",3814
"Waste Disposal and Sustainable Energy",5
"Vulnerable Children and Youth Studies",2
"Vox Sanguinis",698
"Voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury",19
"Voprosy Pitaniia",1
"Vocations and Learning",7
"Visual Informatics",1
"Visual Computing for Industry, Biomedicine, and Art",114
"Visual Cognition",4
"Vision Research",850
"Vision (Switzerland)",290
"Visceral Medicine",160
"Viruses",8836
"VirusDisease",476
"Virus Research",1664
"Virus Genes",670
"Virus Evolution",119
"Virtual Reality",36
"Virology: Research and Treatment",13
"Virology Journal",1424
"Virology",1642
"Virchows Archiv",1257
"Vietnam Journal of Mathematics",10
"VideoGIE",1
"Veterinary and Comparative Orthopaedics and Traumatology",121
"Veterinary and Comparative Oncology",516
"Veterinary and Animal Science",196
"Veterinary World",2127
"Veterinary Surgery",955
"Veterinary Sciences",1328
"Veterinary Research Forum",373
"Veterinary Research Communications",373
"Veterinary Research",818
"Veterinary Record Open",166
"Veterinary Record",784
"Veterinary Radiology and Ultrasound",625
"Veterinary Parasitology: Regional Studies and Reports",737
"Veterinary Parasitology",1509
"Veterinary Ophthalmology",306
"Veterinary Microbiology",1950
"Veterinary Medicine and Science",265
"Veterinary Medicine International",282
"Veterinary Journal",836
"Veterinary Immunology and Immunopathology",721
"Veterinary Dermatology",141
"Veterinary Clinical Pathology",325
"Veterinary Anaesthesia and Analgesia",660
"Veterinaria italiana",148
"Vegetation History and Archaeobotany",15
"Vascular Specialist International",80
"Vascular Pharmacology",457
"Vascular Health and Risk Management",242
"Vascular Cell",3
"Value in Health Regional Issues",488
"Value in Health",1158
"Vacunas",45
"Vaccines",4436
"Vaccine: X",202
"Vaccine",6673
"VLDB Journal",2
"User Modeling and User-Adapted Interaction",13
"Urology Practice",3
"Urology Journal",221
"Urology Annals",154
"Urology",3672
"Urologic Oncology: Seminars and Original Investigations",1828
"Urologia Internationalis",980
"Urolithiasis",449
"Urban Studies",1
"Urban Rail Transit",5
"Urban Climate",28
"Upsala Journal of Medical Sciences",48
"Updates in Surgery",902
"United European Gastroenterology Journal",593
"Ultrasound in Obstetrics and Gynecology",574
"Ultrasound in Medicine and Biology",1967
"Ultrasound Journal",170
"Ultrasound International Open",73
"Ultrasound",153
"Ultrasonography",5
"Ultrasonics Sonochemistry",2727
"Ultrasonics",1352
"Ultramicroscopy",1138
"Tzu Chi Medical Journal",127
"Turkish Journal of Urology",373
"Turkish Journal of Thoracic and Cardiovascular Surgery",337
"Turkish Journal of Physical Medicine and Rehabilitation",287
"Turkish Journal of Pharmaceutical Sciences",245
"Turkish Journal of Orthodontics",115
"Turkish Journal of Ophthalmology",190
"Turkish Journal of Obstetrics and Gynecology",191
"Turkish Journal of Medical Sciences",1317
"Turkish Journal of Emergency Medicine",148
"Turkish Journal of Chemistry",248
"Turkish Journal of Biology",78
"Turkish Archives of Pediatrics",58
"Tumour Virus Research",29
"Tumor Biology",770
"Tuberculosis and Respiratory Diseases",226
"Tuberculosis",638
"Tropical Plant Pathology",3
"Tropical Plant Biology",1
"Tropical Parasitology",41
"Tropical Medicine and Infectious Disease",1009
"Tropical Medicine and Health",408
"Tropical Diseases, Travel Medicine and Vaccines",153
"Tropical Animal Health and Production",2367
"Triple Helix",1
"Tribology Letters",18
"Trials",5171
"Trends in Psychiatry and Psychotherapy",190
"Trends in Plant Science",924
"Trends in Pharmacological Sciences",542
"Trends in Parasitology",660
"Trends in Organized Crime",1
"Trends in Neurosciences",501
"Trends in Neuroscience and Education",76
"Trends in Molecular Medicine",606
"Trends in Microbiology",727
"Trends in Immunology",556
"Trends in Genetics",610
"Trends in Endocrinology and Metabolism",547
"Trends in Ecology and Evolution",730
"Trends in Cognitive Sciences",605
"Trends in Cell Biology",580
"Trends in Cardiovascular Medicine",385
"Trends in Biotechnology",847
"Trends in Biochemical Sciences",638
"Trees - Structure and Function",5
"Tree Physiology",116
"Tree Genetics and Genomes",2
"Travel Medicine and Infectious Disease",635
"Travel Behaviour and Society",18
"Traumatology",1
"Trauma Surgery and Acute Care Open",394
"Trauma Monthly",58
"Transportation Research, Part E: Logistics and Transportation Review",31
"Transportation Research, Part D: Transport and Environment",14
"Transportation Research Part F: Traffic Psychology and Behaviour",5
"Transportation Research Part C: Emerging Technologies",15
"Transportation Research Interdisciplinary Perspectives",105
"Transport in Porous Media",24
"Transport Reviews",1
"Transport Policy",84
"Transplantation and Cellular Therapy",638
"Transplantation Reviews",219
"Transplantation Direct",694
"Transplant International",887
"Transplant Infectious Disease",920
"Transplant Immunology",549
"Translational and Clinical Pharmacology",99
"Translational Vision Science and Technology",976
"Translational Stroke Research",567
"Translational Psychiatry",2539
"Translational Oncology",1161
"Translational Neuroscience",259
"Translational Neurodegeneration",260
"Translational Medicine of Aging",4
"Translational Animal Science",881
"Transgenic Research",342
"Transfusion and Apheresis Science",729
"Transfusion Medicine and Hemotherapy",271
"Transfusion Medicine Reviews",198
"Transfusion Medicine",391
"Transfusion Clinique et Biologique",234
"Transfusion",2434
"Transboundary and Emerging Diseases",1450
"Transactions of the Royal Society of Tropical Medicine and Hygiene",74
"Transactions of the Institute of British Geographers",6
"Transactions in GIS",5
"Traffic",310
"Toxins",4424
"Toxics",1340
"Toxicon: X",106
"Toxicon",1570
"Toxicology in Vitro",1545
"Toxicology and Environmental Health Sciences",1
"Toxicology and Applied Pharmacology",1974
"Toxicology Research",660
"Toxicology Reports",911
"Toxicology Letters",1641
"Toxicology",1205
"Toxicological Sciences",56
"Toxicological Research",271
"Tourism Management Perspectives",42
"Topoi",1
"Topics in Magnetic Resonance Imaging",3
"Topics in Cognitive Science",323
"Tomography",283
"Tokai Journal of Experimental and Clinical Medicine",239
"Tobacco Prevention and Cessation",254
"Tobacco Induced Diseases",500
"Tobacco Control",1063
"Tissue and Cell",834
"Tissue Engineering and Regenerative Medicine",520
"Tissue Barriers",28
"Tijdschrift voor Gerontologie en Geriatrie",17
"Tijdschrift Voor Economische en Sociale Geografie",28
"Tierarztliche Praxis Ausgabe K: Kleintiere - Heimtiere",85
"Tierarztliche Praxis Ausgabe G: Grosstiere - Nutztiere",70
"Ticks and Tick-borne Diseases",1267
"Thyroid Research",86
"Thrombosis and Haemostasis",361
"Thrombosis Research",1579
"Thrombosis Journal",290
"Thought",5
"Thorax",1116
"Thoracic Cancer",1596
"Third World Quarterly",1
"Thinking and Reasoning",1
"Thinking Skills and Creativity",9
"Theriogenology",2826
"Therapies",354
"Therapeutics and Clinical Risk Management",413
"Therapeutic Innovation and Regulatory Science",442
"Therapeutic Drug Monitoring",11
"Therapeutic Apheresis and Dialysis",594
"Therapeutic Advances in Vaccines and Immunotherapy",53
"Therapeutic Advances in Urology",231
"Therapeutic Advances in Neurological Disorders",347
"Therapeutic Advances in Musculoskeletal Disease",335
"Therapeutic Advances in Medical Oncology",725
"Therapeutic Advances in Infectious Disease",172
"Therapeutic Advances in Hematology",208
"Therapeutic Advances in Gastrointestinal Endoscopy",53
"Therapeutic Advances in Gastroenterology",548
"Therapeutic Advances in Endocrinology and Metabolism",253
"Therapeutic Advances in Drug Safety",189
"Therapeutic Advances in Chronic Disease",379
"Theranostics",3316
"Theory in Biosciences",143
"Theory and Society",2
"Theoretical and Experimental Plant Physiology",2
"Theoretical and Computational Fluid Dynamics",3
"Theoretical and Applied Climatology",22
"Theoretical Population Biology",317
"Theoretical Medicine and Bioethics",6
"Theoretical Ecology",8
"Theoretical Chemistry Accounts",11
"Theoretical Biology and Medical Modelling",118
"Theoretical And Applied Genetics",1526
"The Innovation",153
"Textual Practice",4
"Tetrahedron Letters",6
"Tetrahedron",12
"Test",4
"Temperature",102
"Tectonics",11
"Technology in Society",57
"Technology in Cancer Research and Treatment",3
"Technology Analysis and Strategic Management",1
"Techniques in Coloproctology",956
"Techniques and Innovations in Gastrointestinal Endoscopy",1
"Technical Innovations and Patient Support in Radiation Oncology",158
"Teaching and Teacher Education",15
"Teaching Statistics",2
"Talanta Open",3
"Talanta",7007
"Taiwan Journal of Ophthalmology",157
"Systems Research and Behavioral Science",3
"Systemic Practice and Action Research",1
"Systematic and Applied Microbiology",443
"Systematic Reviews",1864
"Systematic Parasitology",463
"Systematic Biology",56
"System Dynamics Review",7
"Synthetic and Systems Biotechnology",291
"Synthetic Biology",110
"Synthese",134
"Synapse",245
"Symbiosis",21
"Swiss Political Science Review",13
"Swiss Journal of Palaeontology",21
"Swiss Journal of Geosciences",13
"Swarm and Evolutionary Computation",1
"Sustainable Production and Consumption",31
"Sustainable Energy and Fuels",11
"Sustainable Cities and Society",159
"Sustainable Chemistry and Pharmacy",4
"Sustainability Science",163
"Sustainability",3
"Surveys in Geophysics",34
"Survey of Ophthalmology",461
"Surgical and Radiologic Anatomy",1269
"Surgical Practice",2
"Surgical Oncology",836
"Surgical Neurology International",1003
"Surgical Laparoscopy, Endoscopy and Percutaneous Techniques",262
"Surgical Endoscopy and Other Interventional Techniques",4785
"Surgery for Obesity and Related Diseases",1472
"Surgery Today",1240
"Surgery Open Science",152
"Surgery",2513
"Surgeon",490
"Surfaces and Interfaces",4
"Surface and Interface Analysis",1
"Supportive Care in Cancer",4068
"Sultan Qaboos University Medical Journal",542
"Suicide and Life-Threatening Behavior",581
"Sugar Tech",13
"Substance Abuse: Treatment, Prevention, and Policy",259
"Substance Abuse: Research and Treatment",168
"Studies on Russian Economic Development",62
"Studies in Nonlinear Dynamics and Econometrics",1
"Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences",174
"Studies in History and Philosophy of Science Part A",457
"Studies in Family Planning",1
"Studies in Conservation",1
