"article_year","article_number","all_articles","percentage"
"2015",85175,6553814,1.29962492069503
"2016",458981,6553814,7.00326557940155
"2017",489720,6553814,7.47229018095417
"2018",533297,6553814,8.13720072006926
"2019",588501,6553814,8.97951940656235
"2020",726748,6553814,11.0889323377197
"2021",822052,6553814,12.5431084861426
"2022",862113,6553814,13.1543708747303
"2023",809873,6553814,12.3572777622313
"2024",847851,6553814,12.9367571310385
"2025",329502,6553814,5.02763734216443
"NA",1,6553814,1.52582908211921e-05
