"article_year","all_articles","covid_number_per_year","all_covid_articles","percentage_covid","percentage_all"
"2016",6642176,0,199242,0,0
"2017",6642176,1,199242,0.000501902209373526,1.50553071764434e-05
"2018",6642176,0,199242,0,0
"2019",6642176,0,199242,0,0
"2020",6642176,31108,199242,15.6131739291916,0.468340495644801
"2021",6642176,54374,199242,27.2904307324761,0.818617272411932
"2022",6642176,51831,199242,26.0140934140392,0.780331626262237
"2023",6642176,34039,199242,17.0842493048654,0.512467600978956
"2024",6642176,21926,199242,11.0047078427239,0.330102665150698
"2025",6642176,5963,199242,2.99284287449433,0.0897747966931319
