"article_year","npi_year","count","all_articles","all_npi_articles","percentage_all","percentage_npi"
2016,0,4813,469254,453300,1.02567053237692,1.0617692477388
2016,1,369953,469254,453300,78.8385394690296,81.6132803882638
2016,2,78534,469254,453300,16.7359255328671,17.3249503639974
2016,NA,15954,469254,453300,3.39986446572645,NA
2017,0,4255,505035,489156,0.842515865237063,0.86986564613334
2017,1,407657,505035,489156,80.7185640599166,83.3388530448364
2017,2,77244,505035,489156,15.2947815497936,15.7912813090302
2017,NA,15879,505035,489156,3.14413852505272,NA
2018,0,4625,549713,536394,0.84134812165621,0.862239324078942
2018,1,451640,549713,536394,82.1592358194185,84.1993012598948
2018,2,80129,549713,536394,14.5765153816628,14.9384594160263
2018,NA,13319,549713,536394,2.4229006772625,NA
2019,0,5674,605078,593927,0.937730342203815,0.955336261863832
2019,1,496591,605078,593927,82.0705760249092,83.6114539328907
2019,2,91662,605078,593927,15.1487907344177,15.4332098052454
2019,NA,11151,605078,593927,1.84290289846929,NA
2020,0,7973,746074,734904,1.06866074946989,1.08490360645744
2020,1,611500,746074,734904,81.9623790669558,83.2081469144269
2020,2,115431,746074,734904,15.4717896616153,15.7069494791156
2020,NA,11170,746074,734904,1.49717052195895,NA
2021,0,9247,846288,836388,1.09265403739625,1.10558735897693
2021,1,708010,846288,836388,83.660645075908,84.6509036475894
2021,2,119131,846288,836388,14.0768863554724,14.2435089934337
2021,NA,9900,846288,836388,1.16981453122341,NA
2022,0,9617,883752,876970,1.08820121482045,1.09661675998039
2022,1,749507,883752,876970,84.8096524816917,85.465523336032
2022,2,117846,883752,876970,13.3347364418977,13.4378599039876
2022,NA,6782,883752,876970,0.767409861590129,NA
2023,0,10729,829421,825710,1.29355297249527,1.29936660570903
2023,1,699389,829421,825710,84.3225575431536,84.7015295927142
2023,2,115592,829421,825710,13.936468934353,13.9991038015768
2023,NA,3711,829421,825710,0.447420549998131,NA
2024,0,16182,869851,869525,1.86031860629004,1.86101607199333
2024,1,725172,869851,869525,83.3673813101324,83.3986371869699
2024,2,128171,869851,869525,14.734822400618,14.7403467410368
2024,NA,326,869851,869525,0.0374776829594954,NA
2025,NA,337710,337710,0,100,NA
