"article_year","all_articles","all_articles_this_year","all_open_access_articles","open_access_number_per_year","percentage_open_access","percentage_all","percentage_this_year"
"2015",6553814,85175,3174659,8467,0.266705809978332,0.129191948383033,9.94071030231876
"2016",6553814,458981,3174659,158060,4.97880244775896,2.41172544719762,34.4371553506572
"2017",6553814,489720,3174659,181386,5.7135585270733,2.76764033889274,37.0387160009802
"2018",6553814,533297,3174659,213531,6.72610822138693,3.25811809733996,40.0397902107081
"2019",6553814,588501,3174659,257592,8.11400531521653,3.9304136492125,43.7708686986088
"2020",6553814,726748,3174659,341412,10.7542888858299,5.20936358584482,46.9780446592216
"2021",6553814,822052,3174659,436037,13.734923971362,6.65317935480012,53.0425082598181
"2022",6553814,862113,3174659,496834,15.6499957948239,7.58083766185613,57.6298002698022
"2023",6553814,809873,3174659,454307,14.3104188512845,6.9319483281033,56.0960792618102
"2024",6553814,847851,3174659,456425,14.3771346780867,6.96426538806258,53.8331617229914
"2025",6553814,329502,3174659,170608,5.37405749719891,2.60318648042193,51.7775309406316
"NA",6553814,1,3174659,NA,NA,NA,NA
