"article_year","all_articles","all_articles_this_year","all_retracted_articles","retracted_number_per_year","percentage_retracted","percentage_all","percentage_this_year"
"2015",6553814,85175,10569,106,1.00293310625414,0.00161737882704636,0.124449662459642
"2016",6553814,458981,10569,501,4.74027817201249,0.00764440370141722,0.10915484518967
"2017",6553814,489720,10569,685,6.48121865834043,0.0104519292125166,0.139875847423017
"2018",6553814,533297,10569,892,8.43977670545936,0.0136103954125033,0.167261394682513
"2019",6553814,588501,10569,1046,9.89686819945122,0.0159601721989669,0.177739714970748
"2020",6553814,726748,10569,1026,9.70763553789384,0.015655006382543,0.141176859103843
"2021",6553814,822052,10569,1802,17.0498628063204,0.0274954400597881,0.219207544048308
"2022",6553814,862113,10569,3893,36.834137572145,0.0594005261669007,0.451564934063168
"2023",6553814,809873,10569,493,4.66458510738954,0.00752233737484768,0.0608737419323771
"2024",6553814,847851,10569,125,1.18270413473366,0.00190728635264901,0.0147431565216058
"2025",6553814,329502,10569,0,0,0,0
"NA",6553814,1,10569,NA,NA,NA,NA
