"","article_year","year","quartile_year","n","mean_acc_delay","mean_pub_delay","median_acc_delay","median_pub_delay","2_months_acc","6_months_acc","1_year_acc","2_months_pub","6_months_pub","1_year_pub"
"1","2016","2016","Q1",338171,121.958864006671,26.2224732457839,105,18,20.9323093937682,81.4685469777125,98.6234774714567,90.4607432334529,99.6028636399928,99.9793004131046
"2","2016","2016","Q2",82636,116.551091533956,37.0622973038385,99,18,24.5764557819836,82.959000919696,98.6386078706617,82.9517401616729,96.8040563434823,99.8305823127935
"3","2016","2016","Q3",19760,141.661690283401,55.429504048583,107,34,26.1437246963563,72.3127530364372,93.4463562753036,72.4645748987854,94.003036437247,99.6356275303644
"4","2016","2016","Q4",991,117.481331987891,39.8647830474268,99,29,28.5570131180626,78.9101917255298,97.8809283551968,75.5802219979818,98.6881937436932,99.899091826438
"5","2017","2017","Q1",358639,128.241791885434,26.9368250524901,108,18,20.3965547528294,79.524814646483,97.5892192427483,90.0967267921224,99.4844397848533,99.940329969691
"6","2017","2017","Q2",93635,118.699439312223,34.4207507876328,98,17,25.6762962567416,82.3196454317296,97.9494847012335,84.0241362738292,97.5735568964596,99.7105783093928
"7","2017","2017","Q3",23367,158.847477211452,64.1652330209269,119,40,22.3905507767364,68.3399666195917,91.1584713484829,65.2159027688621,92.5364830744212,98.9557923567424
"8","2017","2017","Q4",1096,109.946167883212,69.2947080291971,72,48,44.0693430656934,83.6678832116788,94.3430656934307,62.5,92.7919708029197,98.9963503649635
"9","2018","2018","Q1",381042,129.690183759271,26.5903233764257,108,17,21.2989644186205,78.8752945869484,97.2827142414747,90.2181386828749,99.3551891917426,99.9118207441699
"10","2018","2018","Q2",112324,112.297674584238,27.981686905737,91,14,31.1037712332182,83.4861650226132,98.0591859264271,88.5180371069406,98.5524019799865,99.8486521135287
"11","2018","2018","Q3",25789,137.598859979061,60.266276319361,106,31,25.8327193764783,75.5632246306565,94.7652099732444,71.3831478537361,92.0043429369111,98.2628252355656
"12","2018","2018","Q4",1061,84.5249764373233,77.4109330819981,67,47,45.5230914231857,92.7426955702168,98.4919886899152,59.0009425070688,85.5796418473139,99.9057492931197
