"","article_year","n","mean_acc_delay","median_acc_delay","mean_pub_delay","median_pub_delay"
"1","2016",469254,121.288246876958,104,30.2503185907845,19
"2","2017",505035,127.473428574257,106,31.2326947637292,19
"3","2018",549713,125.683733148025,104,29.4914982909264,17
"4","2019",605078,123.838905066785,103,28.8211569417497,17
"5","2020",746074,114.366829563823,92,27.9322989408557,17
"6","2021",846288,113.277768324731,89,27.0883198154765,16
"7","2022",883752,110.554957725697,84,24.2694918936534,14
"8","2023",829421,115.098091319125,89,21.5775257679755,12
"9","2024",869851,121.663538927931,98,22.5008777365319,12
"10","2025",337710,125.81911699387,101,21.9232003790234,12
