"journal","npi_2024","npi_average"
"2d materials",1,1
"3 Biotech",1,1
"AAPS PharmSciTech",1,1
"ACR open rheumatology",1,1
"ACS ES&T engineering",1,1
"ACS ES&T water",1,1
"ACS agricultural science & technology",1,1
"ACS applied bio materials",1,1
"ACS applied electronic materials",1,1
"ACS applied nano materials",1,1
"ACS applied polymer materials",1,1
"ACS biomaterials science & engineering",1,1
"ACS central science",1,1
"ACS environmental Au",1,1
"ACS food science & technology",1,1
"ACS macro letters",1,1
"ACS materials Au",1,1
"ACS materials letters",1,1
"ACS medicinal chemistry letters",1,1
"ACS nanoscience Au",0,0
"ACS omega",1,1
"ACS organic & inorganic Au",1,1
"ACS pharmacology & translational science",1,1
"ACS photonics",1,1
"ACS physical chemistry Au",1,1
"ACS sustainable chemistry & engineering",1,1
"AGU advances",1,1
"AI & society",1,1
"AI and ethics",1,1
"AIChE journal. American Institute of Chemical Engineers",2,2
"AIDS (London, England)",1,1.6
"AIDS and behavior",1,1
"AIDS research and therapy",1,1
"AIDS research and treatment",1,1
"AIMS microbiology",1,1
"AIMS public health",1,1
"AJNR. American journal of neuroradiology",1,1
"AJO international",1,1
"AJOB neuroscience",1,1
"AJOG global reports",1,1
"ALTEX",1,1
"AMB Express",1,1
"ANZ journal of surgery",1,1
"APL bioengineering",1,1
"APL materials",1,1
"APL photonics",1,1
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",1,1
"ARYA atherosclerosis",1,1
"ASN neuro",1,1
"Academic emergency medicine : official journal of the Society for Academic Emergency Medicine",1,1
"Academic pediatrics",1,1
"Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry",1,1
"Academic radiology",1,1
"Access microbiology",1,1
"Accident; analysis and prevention",1,1
"Accreditation and quality assurance : journal for quality, comparability and reliability in chemical measurement",1,1
"Acoustical physics",1,1
"Acoustics Australia",1,1
"Acta anaesthesiologica Scandinavica",1,1
"Acta analytica : philosophy and psychology",1,1
"Acta applicandae mathematicae",1,1
"Acta astronautica",1,1
"Acta bio-medica : Atenei Parmensis",1,1
"Acta biochimica Polonica",1,1
"Acta biomaterialia",1,1
"Acta biomaterialia odontologica Scandinavica",NA,0.75
"Acta biotheoretica",1,1
"Acta chimica Slovenica",1,1
"Acta cirurgica brasileira",1,1
"Acta crystallographica Section B, Structural science, crystal engineering and materials",1,1
"Acta crystallographica. Section A, Foundations and advances",1,1
"Acta crystallographica. Section C, Structural chemistry",1,1
"Acta crystallographica. Section D, Structural biology",1,1
"Acta cytologica",1,1
"Acta dermato-venereologica",1,1
"Acta diabetologica",1,1
"Acta ethologica",1,1
"Acta geotechnica",1,1
"Acta haematologica",1,1
"Acta haematologica Polonica",1,1
"Acta histochemica",1,1
"Acta histochemica et cytochemica",1,1
"Acta informatica",1,1.7
"Acta mathematica Sinica, English series",1,1
"Acta mathematicae applicatae Sinica (English series)",1,1
"Acta mechanica",1,1
"Acta mechanica Sinica = Li xue xue bao",1,1
"Acta mechanica solida Sinica",1,1
"Acta medica portuguesa",1,1
"Acta microbiologica et immunologica Hungarica",1,1
"Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology",1,1
"Acta neurobiologiae experimentalis",1,1
"Acta neurochirurgica",1,1
"Acta neurologica Belgica",1,1
"Acta neurologica Scandinavica",1,1
"Acta neuropathologica",2,1.2
"Acta neuropathologica communications",1,1
"Acta obstetricia et gynecologica Scandinavica",1,1
"Acta oceanologica Sinica = Hai yang xue bao",1,1
"Acta odontologica Scandinavica",1,1
"Acta oecologica (Montrouge, France)",1,1
"Acta of bioengineering and biomechanics",1,1
"Acta oncologica (Stockholm, Sweden)",1,1
"Acta ophthalmologica",1,1.3
"Acta orthopaedica et traumatologica turcica",1,1
"Acta ortopedica brasileira",1,1
"Acta paediatrica (Oslo, Norway : 1992)",1,1
"Acta parasitologica",1,1
"Acta pharmaceutica Sinica. B",1,1
"Acta pharmacologica Sinica",1,1
"Acta physiologiae plantarum",1,1
"Acta physiologica (Oxford, England)",2,1.4
"Acta psychiatrica Scandinavica",1,1.9
"Acta psychologica",1,1
"Acta radiologica (Stockholm, Sweden : 1987)",1,1
"Acta scientiarum mathematicarum",1,1
"Acta tropica",1,1
"Acta veterinaria Hungarica",1,1
"Acta veterinaria Scandinavica",1,1
"Actas urologicas espanolas",1,1
"Action learning",1,1
"Activitas nervosa superior (2007)",1,1
"Acupuncture in medicine : journal of the British Medical Acupuncture Society",1,1
